sale_date,product_code,product_name,sales_quantity,unit_price,sales_amount
2026-08-03,P001,아메리카노_HOT,26,3500,91000
2026-08-04,P001,아메리카노_HOT,27,3500,94500
2026-08-05,P001,아메리카노_HOT,24,3500,84000
2026-08-06,P001,아메리카노_HOT,27,3500,94500
2026-08-07,P001,아메리카노_HOT,26,3500,91000
2026-08-08,P001,아메리카노_HOT,28,3500,98000
2026-08-09,P001,아메리카노_HOT,30,3500,105000
2026-08-03,P002,연유라떼_HOT,10,4800,48000
2026-08-04,P002,연유라떼_HOT,10,4800,48000
2026-08-05,P002,연유라떼_HOT,10,4800,48000
2026-08-06,P002,연유라떼_HOT,11,4800,52800
2026-08-07,P002,연유라떼_HOT,10,4800,48000
2026-08-08,P002,연유라떼_HOT,10,4800,48000
2026-08-09,P002,연유라떼_HOT,11,4800,52800
2026-08-03,P003,바닐라라떼_HOT,11,4700,51700
2026-08-04,P003,바닐라라떼_HOT,13,4700,61100
2026-08-05,P003,바닐라라떼_HOT,17,4700,79900
2026-08-06,P003,바닐라라떼_HOT,13,4700,61100
2026-08-07,P003,바닐라라떼_HOT,13,4700,61100
2026-08-08,P003,바닐라라떼_HOT,14,4700,65800
2026-08-09,P003,바닐라라떼_HOT,13,4700,61100
2026-08-03,P004,카라멜마끼아토_HOT,11,5000,55000
2026-08-04,P004,카라멜마끼아토_HOT,10,5000,50000
2026-08-05,P004,카라멜마끼아토_HOT,12,5000,60000
2026-08-06,P004,카라멜마끼아토_HOT,10,5000,50000
2026-08-07,P004,카라멜마끼아토_HOT,10,5000,50000
2026-08-08,P004,카라멜마끼아토_HOT,9,5000,45000
2026-08-09,P004,카라멜마끼아토_HOT,11,5000,55000
2026-08-03,P010,아메리카노_ICE,56,3500,196000
2026-08-04,P010,아메리카노_ICE,62,3500,217000
2026-08-05,P010,아메리카노_ICE,55,3500,192500
2026-08-06,P010,아메리카노_ICE,54,3500,189000
2026-08-07,P010,아메리카노_ICE,58,3500,203000
2026-08-08,P010,아메리카노_ICE,64,3500,224000
2026-08-09,P010,아메리카노_ICE,57,3500,199500
2026-08-03,P011,연유라떼_ICE,20,4800,96000
2026-08-04,P011,연유라떼_ICE,19,4800,91200
2026-08-05,P011,연유라떼_ICE,15,4800,72000
2026-08-06,P011,연유라떼_ICE,19,4800,91200
2026-08-07,P011,연유라떼_ICE,19,4800,91200
2026-08-08,P011,연유라떼_ICE,18,4800,86400
2026-08-09,P011,연유라떼_ICE,18,4800,86400
2026-08-03,P019,아이스티_HOT,5,3800,19000
2026-08-04,P019,아이스티_HOT,4,3800,15200
2026-08-05,P019,아이스티_HOT,5,3800,19000
2026-08-06,P019,아이스티_HOT,4,3800,15200
2026-08-07,P019,아이스티_HOT,3,3800,11400
2026-08-08,P019,아이스티_HOT,4,3800,15200
2026-08-09,P019,아이스티_HOT,3,3800,11400
2026-08-03,P020,녹차_HOT,3,3500,10500
2026-08-04,P020,녹차_HOT,2,3500,7000
2026-08-05,P020,녹차_HOT,3,3500,10500
2026-08-06,P020,녹차_HOT,2,3500,7000
2026-08-07,P020,녹차_HOT,3,3500,10500
2026-08-08,P020,녹차_HOT,3,3500,10500
2026-08-09,P020,녹차_HOT,3,3500,10500
2026-08-03,P021,유자차_HOT,2,4000,8000
2026-08-04,P021,유자차_HOT,2,4000,8000
2026-08-05,P021,유자차_HOT,4,4000,16000
2026-08-06,P021,유자차_HOT,2,4000,8000
2026-08-07,P021,유자차_HOT,2,4000,8000
2026-08-08,P021,유자차_HOT,3,4000,12000
2026-08-09,P021,유자차_HOT,2,4000,8000
2026-08-03,P022,허브차_HOT,4,3800,15200
2026-08-04,P022,허브차_HOT,3,3800,11400
2026-08-05,P022,허브차_HOT,4,3800,15200
2026-08-06,P022,허브차_HOT,3,3800,11400
2026-08-07,P022,허브차_HOT,4,3800,15200
2026-08-08,P022,허브차_HOT,3,3800,11400
2026-08-09,P022,허브차_HOT,4,3800,15200
2026-08-03,P023,홍차_HOT,4,3800,15200
2026-08-04,P023,홍차_HOT,4,3800,15200
2026-08-05,P023,홍차_HOT,3,3800,11400
2026-08-06,P023,홍차_HOT,5,3800,19000
2026-08-07,P023,홍차_HOT,4,3800,15200
2026-08-08,P023,홍차_HOT,5,3800,19000
2026-08-09,P023,홍차_HOT,4,3800,15200
2026-08-03,P024,아이스티_ICE,6,3800,22800
2026-08-04,P024,아이스티_ICE,5,3800,19000
2026-08-05,P024,아이스티_ICE,6,3800,22800
2026-08-06,P024,아이스티_ICE,4,3800,15200
2026-08-07,P024,아이스티_ICE,4,3800,15200
2026-08-08,P024,아이스티_ICE,4,3800,15200
2026-08-09,P024,아이스티_ICE,4,3800,15200
2026-08-03,P025,녹차_ICE,1,3500,3500
2026-08-04,P025,녹차_ICE,1,3500,3500
2026-08-05,P025,녹차_ICE,1,3500,3500
2026-08-06,P025,녹차_ICE,2,3500,7000
2026-08-07,P025,녹차_ICE,2,3500,7000
2026-08-08,P025,녹차_ICE,2,3500,7000
2026-08-09,P025,녹차_ICE,1,3500,3500
2026-08-03,P026,유자차_ICE,1,4000,4000
2026-08-04,P026,유자차_ICE,1,4000,4000
2026-08-05,P026,유자차_ICE,3,4000,12000
2026-08-06,P026,유자차_ICE,1,4000,4000
2026-08-07,P026,유자차_ICE,1,4000,4000
2026-08-08,P026,유자차_ICE,1,4000,4000
2026-08-09,P026,유자차_ICE,1,4000,4000
2026-08-03,P027,허브차_ICE,2,3800,7600
2026-08-04,P027,허브차_ICE,3,3800,11400
2026-08-05,P027,허브차_ICE,4,3800,15200
2026-08-06,P027,허브차_ICE,3,3800,11400
2026-08-07,P027,허브차_ICE,3,3800,11400
2026-08-08,P027,허브차_ICE,2,3800,7600
2026-08-09,P027,허브차_ICE,2,3800,7600
2026-08-03,P028,홍차_ICE,2,3800,7600
2026-08-04,P028,홍차_ICE,2,3800,7600
2026-08-05,P028,홍차_ICE,4,3800,15200
2026-08-06,P028,홍차_ICE,2,3800,7600
2026-08-07,P028,홍차_ICE,2,3800,7600
2026-08-08,P028,홍차_ICE,2,3800,7600
2026-08-09,P028,홍차_ICE,2,3800,7600
2026-08-03,P029,토피넛라떼_HOT,4,4900,19600
2026-08-04,P029,토피넛라떼_HOT,5,4900,24500
2026-08-05,P029,토피넛라떼_HOT,4,4900,19600
2026-08-06,P029,토피넛라떼_HOT,3,4900,14700
2026-08-07,P029,토피넛라떼_HOT,4,4900,19600
2026-08-08,P029,토피넛라떼_HOT,4,4900,19600
2026-08-09,P029,토피넛라떼_HOT,4,4900,19600
2026-08-03,P030,고구마라떼_HOT,5,4700,23500
2026-08-04,P030,고구마라떼_HOT,5,4700,23500
2026-08-05,P030,고구마라떼_HOT,5,4700,23500
